startRequest;endResponse
10377.8;10378.8;1.01
10415.2;10416.2;1.01
10573.3;10574.3;1.01
10923.3;10924.3;1.01
10930.5;10931.6;1.01
10961.9;10962.9;1.01
10970.7;10971.7;1.01
11146.8;11147.8;1.01
11216.5;11217.5;1.01
11248.3;11249.3;1.01
11366.1;11367.1;1.01
11371.8;11372.8;1.01
11410.6;11411.6;1.01
11463.3;11464.3;1.01
11506.7;11507.7;1.01
11678.1;11679.1;1.01
11900.5;11901.5;1.01
11935.4;11936.4;1.01
12086;12087;1.01
12096.7;12097.7;1.01
12127.2;12128.2;1.01
12161.1;12162.1;1.01
12303.4;12304.4;1.01
12305.9;12306.9;1.01
12453.1;12454.2;1.01
12463;12464;1.01
12489.2;12490.2;1.01
12534.1;12535.1;1.01
12563.6;12564.6;1.01
12841.1;12842.1;1.01
12891.1;12892.1;1.01
12895.4;12896.4;1.01
13011.9;13012.9;1.01
13151.2;13152.2;1.01
13182.9;13183.9;1.01
13203.6;13204.6;1.01
13310;13311;1.01
13513.3;13514.3;1.01
13636.9;13637.9;1.01
13681.7;13682.7;1.01
13736.6;13737.6;1.01
13740.7;13741.7;1.01
13883.1;13884.1;1.01
13965.7;13966.7;1.01
14048.2;14049.2;1.01
14049;14050.3;1.26541
14201.2;14202.2;1.01
14277.7;14278.7;1.01
14293.6;14294.6;1.01
14495.8;14496.8;1.01
14527.7;14528.8;1.01
14538.6;14539.6;1.01
14639.8;14640.8;1.01
14648.8;14649.8;1.01
14671.5;14672.5;1.01
14810.8;14811.8;1.01
15013.4;15014.4;1.01
15126.6;15127.6;1.01
15146;15147;1.01
15155.9;15156.9;1.01
15418.1;15419.1;1.01
15445.4;15446.4;1.01
15512.1;15513.1;1.01
15558.4;15559.4;1.01
15676.6;15677.6;1.01
15711.8;15712.8;1.01
15857.1;15858.1;1.01
15877;15878;1.01
15932.7;15933.7;1.01
16014.8;16015.8;1.01
16026;16027;1.01
16067.7;16068.7;1.01
16088.5;16089.5;1.01
16181.8;16182.8;1.01
16197.1;16198.1;1.01
16284.3;16285.3;1.01
16363.1;16364.1;1.01
16389.3;16390.3;1.01
16550.6;16551.6;1.01
16633.3;16634.3;1.01
16693.5;16694.5;1.01
16756.5;16757.5;1.01
16855.7;16856.7;1.01
16942.1;16943.1;1.01
17093.7;17094.7;1.01
17224.3;17225.3;1.01
17295.2;17296.2;1.01
17338.5;17339.5;1.01
17401.1;17402.1;1.01
17452.3;17453.3;1.01
17453.1;17454.3;1.22172
17690.4;17691.4;1.01
17866.2;17867.2;1.01
17868.8;17869.8;1.01
18194.8;18195.9;1.01
18287;18288;1.01
18574.9;18575.9;1.01
18846.5;18847.5;1.01
18904.2;18905.2;1.01
18930.7;18931.7;1.01
18982;18983;1.01
18987;18988;1.01
19061;19062;1.01
19181.4;19182.4;1.01
19221.7;19222.7;1.01
19233.4;19234.4;1.01
19318.7;19319.7;1.01
19324.9;19325.9;1.01
19367;19368;1.01
19398.5;19399.5;1.01
19521.6;19522.6;1.01
19530;19531;1.01
19548.4;19549.4;1.01
19597.5;19598.5;1.01
19655.4;19656.4;1.01
19716.1;19717.2;1.01
19748.5;19749.5;1.01
19966.7;19967.8;1.01
19974.3;19975.3;1.01
20187;20188;1.01
20220.8;20221.8;1.01
20296.7;20297.7;1.01
20335.8;20336.8;1.01
20336.2;20337.8;1.60485
20346.7;20347.7;1.01
20360.3;20361.3;1.01
20380.9;20381.9;1.01
20387.7;20388.7;1.01
20406.3;20407.3;1.01
20599.9;20600.9;1.01
20625.1;20626.1;1.01
20665.3;20666.3;1.01
20686.3;20687.3;1.01
20837.8;20838.9;1.01
20873.1;20874.1;1.01
20999.1;21000.1;1.01
21026.5;21027.5;1.01
21051.5;21052.5;1.01
21159;21160;1.01
21368.9;21369.9;1.01
21615.1;21616.1;1.01
21650.7;21651.7;1.01
21769.2;21770.2;1.01
21787.9;21788.9;1.01
21830.7;21831.7;1.01
21937.3;21938.3;1.01
21994.1;21995.1;1.01
22030.3;22031.3;1.01
22331.8;22332.8;1.01
22376.4;22377.4;1.01
22427.8;22428.8;1.01
22618.2;22619.2;1.01
22660.6;22661.6;1.01
22941.1;22942.1;1.01
22964.8;22965.9;1.01
22964.9;22966.9;1.93762
23015.6;23016.6;1.01
23075.1;23076.2;1.01
23129;23130;1.01
23145.8;23146.8;1.01
23187.2;23188.2;1.01
23323.5;23324.5;1.01
23349.9;23350.9;1.01
23440.9;23441.9;1.01
23466.2;23467.2;1.01
23557.5;23558.5;1.01
23606.3;23607.3;1.01
23657.9;23659;1.01
23808.9;23809.9;1.01
23834.3;23835.3;1.01
23903.3;23904.3;1.01
23929.1;23930.1;1.01
23957.2;23958.2;1.01
24020.7;24021.7;1.01
24128.1;24129.1;1.01
24141.4;24142.5;1.01
24171.6;24172.6;1.01
24256.8;24257.8;1.01
24273.4;24274.5;1.01
24345.4;24346.4;1.01
24380.8;24381.8;1.01
24458.4;24459.4;1.01
24472.6;24473.6;1.01
24498.8;24499.8;1.01
24625.8;24626.8;1.01
24647.9;24648.9;1.01
24663.3;24664.3;1.01
24674.1;24675.1;1.01
24707.8;24708.8;1.01
24757.3;24758.3;1.01
25005;25006;1.01
25028.5;25029.5;1.01
25080.4;25081.4;1.01
25309.2;25310.2;1.01
25444.9;25445.9;1.01
25468;25469;1.01
25489.8;25490.8;1.01
25662.6;25663.7;1.01
25688.9;25689.9;1.01
25853.5;25854.5;1.01
26005.6;26006.6;1.01
26030.9;26031.9;1.01
26132.3;26133.3;1.01
26133.8;26134.8;1.01
26192.1;26193.1;1.01
26279.2;26280.2;1.01
26383.8;26384.8;1.01
26581.5;26582.5;1.01
26594.8;26595.8;1.01
26617.7;26618.7;1.01
26791.3;26792.3;1.01
26869.8;26870.8;1.01
26886.6;26887.6;1.01
26943.7;26944.7;1.01
26996.5;26997.5;1.01
27252.6;27253.6;1.01
27270.8;27271.8;1.01
27316.1;27317.2;1.01
27396.6;27397.6;1.01
27416.4;27417.5;1.01
27472.1;27473.1;1.01
27535.3;27536.3;1.01
27624.2;27625.2;1.01
27633.9;27634.9;1.01
27666.6;27667.6;1.01
27755.3;27756.3;1.01
27793.1;27794.1;1.01
27807.3;27808.4;1.01
28070.5;28071.5;1.01
28090.7;28091.7;1.01
28133.2;28134.2;1.01
28338.6;28339.6;1.01
28373.4;28374.4;1.01
28621.9;28622.9;1.01
28641.2;28642.2;1.01
28753;28754;1.01
28818.7;28819.8;1.01
28979.3;28980.4;1.01
29033.6;29034.6;1.01
29177.9;29178.9;1.01
29209.7;29210.7;1.01
29267.6;29268.6;1.01
29433.8;29434.8;1.01
29518;29519;1.01
29606.5;29607.5;1.01
29654.4;29655.4;1.01
29703.4;29704.4;1.01
29765.2;29766.2;1.01
29933.9;29934.9;1.01
29964.7;29965.7;1.01
30036.2;30037.2;1.01
30131.4;30132.4;1.01
30303.1;30304.1;1.01
30309.9;30310.9;1.01
30386.1;30387.1;1.01
30461.1;30462.1;1.01
30461.3;30463.1;1.79379
30500.6;30501.6;1.01
30616.9;30617.9;1.01
31207.6;31208.6;1.01
31253.7;31254.7;1.01
31431.9;31432.9;1.01
31555.4;31556.5;1.01
31718.7;31719.7;1.01
31800.9;31801.9;1.01
31806.2;31807.2;1.01
31909.7;31910.8;1.01
32060.6;32061.6;1.01
32064.7;32065.7;1.01
32371.2;32372.2;1.01
32432.3;32433.3;1.01
32517.5;32518.5;1.01
32602.5;32603.5;1.01
32660.6;32661.6;1.01
32788.4;32789.4;1.01
32838.6;32839.6;1.01
32924;32925;1.01
32973.5;32974.5;1.01
33013.8;33014.8;1.01
33205.8;33206.8;1.01
33330.4;33331.4;1.01
33405.4;33406.4;1.01
33411.7;33412.8;1.01
33437.1;33438.2;1.01
33526.5;33527.6;1.01
33558.1;33559.1;1.01
33753.5;33754.5;1.01
33820.9;33821.9;1.01
33887.6;33888.6;1.01
33948.8;33949.8;1.01
34036.9;34037.9;1.01
34105.4;34106.5;1.01
34325.5;34326.5;1.01
34446;34447;1.01
34575.1;34576.1;1.01
34661.5;34662.5;1.01
34672.4;34673.4;1.01
34676.9;34677.9;1.01
34706.9;34708;1.01
34741.4;34742.4;1.01
34767;34768;1.01
34794.2;34795.2;1.01
34940.6;34941.6;1.01
35011.5;35012.5;1.01
35088.2;35089.2;1.01
35257.5;35258.5;1.01
35286.6;35287.7;1.01
35334.3;35335.3;1.01
35370;35371;1.01
35395.8;35396.8;1.01
35404.8;35405.8;1.01
35594.4;35595.4;1.01
35604.6;35605.6;1.01
35643.1;35644.1;1.01
35809.2;35810.2;1.01
35884.3;35885.3;1.01
36001.1;36002.1;1.01
36161.4;36162.4;1.01
36168.4;36169.4;1.01
36218;36219;1.01
36308.1;36309.2;1.01
36338.1;36339.1;1.01
36340;36341;1.01
36343.4;36344.4;1.01
36344.6;36345.6;1.01
36356;36357;1.01
36399.6;36400.6;1.01
36531.3;36532.3;1.01
36839.2;36840.2;1.01
36895.8;36896.8;1.01
36939.3;36940.3;1.01
37043.4;37044.4;1.01
37098;37099;1.01
37119.5;37120.5;1.01
37177.4;37178.4;1.01
37205.8;37206.8;1.01
37275.1;37276.1;1.01
37275.9;37277.1;1.13414
37357.5;37358.5;1.01
37675.1;37676.1;1.01
37719.4;37720.5;1.01
37767.1;37768.1;1.01
37810.3;37811.3;1.01
37814.1;37815.1;1.01
37925.5;37926.5;1.01
37928.9;37929.9;1.01
37971.7;37972.7;1.01
37993.7;37994.7;1.01
38123.7;38124.7;1.01
39019.6;39020.6;1.01
39057.4;39058.4;1.01
39090.9;39091.9;1.01
39098.6;39099.6;1.01
39204.5;39205.5;1.01
39212.9;39213.9;1.01
39213.7;39214.9;1.20562
39298.8;39299.9;1.01
39330.1;39331.1;1.01
39426.6;39427.6;1.01
39587.4;39588.4;1.01
39739.9;39740.9;1.01
39872.2;39873.2;1.01
39976.5;39977.5;1.01
40221.7;40222.7;1.01
40403.8;40404.9;1.01
40426.8;40427.8;1.01
40467.2;40468.2;1.01
40510.8;40511.8;1.01
40642.8;40643.8;1.01
40763.6;40764.7;1.01
40883.8;40884.8;1.01
40896.2;40897.2;1.01
40920.7;40921.7;1.01
41050.6;41051.6;1.01
41222.4;41223.4;1.01
41350.7;41351.7;1.01
41390.2;41391.2;1.01
41442.7;41443.7;1.01
41555.7;41556.7;1.01
41596.4;41597.4;1.01
41613.4;41614.4;1.01
41857.3;41858.3;1.01
41878.7;41879.7;1.01
41888.9;41889.9;1.01
41905;41906;1.01
42215.4;42216.4;1.01
42224.9;42226;1.01
42245.5;42246.5;1.01
42251.7;42252.7;1.01
42277;42278;1.01
42281.5;42282.5;1.01
42328.9;42329.9;1.01
42710.1;42711.1;1.01
42804.2;42805.2;1.01
42818.4;42819.4;1.01
42931.2;42932.3;1.01
43062.5;43063.5;1.01
43064;43065;1.01
43072.4;43073.5;1.01
43075.2;43076.2;1.01
43079.2;43080.2;1.01
43149.4;43150.4;1.01
43173.9;43174.9;1.01
43204;43205;1.01
43224.8;43225.8;1.01
43349.5;43350.5;1.01
43500.5;43501.5;1.01
43515.7;43516.7;1.01
43523.7;43524.7;1.01
43594.2;43595.2;1.01
43630.7;43631.7;1.01
43763.3;43764.3;1.01
43780.4;43781.4;1.01
43997.4;43998.4;1.01
44022.1;44023.2;1.01
44039.4;44040.4;1.01
44050.8;44051.8;1.01
44062.8;44063.8;1.01
44105.7;44106.7;1.01
44137;44138.1;1.01
44306.3;44307.4;1.01
44315;44316;1.01
44403.7;44404.7;1.01
44459.6;44460.6;1.01
44522.8;44523.9;1.01
44534.8;44535.9;1.01
44539.1;44540.2;1.01
44707.9;44708.9;1.01
44709.1;44710.1;1.01
44761.7;44762.7;1.01
44791.5;44792.5;1.01
44832.1;44833.1;1.01
44844.7;44845.7;1.01
44902.1;44903.1;1.01
44918;44919;1.01
44962.2;44963.3;1.01
44998.8;44999.8;1.01
45210.5;45211.5;1.01
45264.9;45265.9;1.01
45323.1;45324.1;1.01
45373.6;45374.6;1.01
45537.1;45538.1;1.01
45555.1;45556.1;1.01
45891.8;45892.8;1.01
46143.7;46144.7;1.01
46197;46198;1.01
46210.8;46211.8;1.01
46240.9;46241.9;1.01
46293.6;46294.6;1.01
46314.1;46315.1;1.01
46359.9;46360.9;1.01
46436.4;46437.4;1.01
46448.3;46449.3;1.01
46489.9;46490.9;1.01
46515.6;46516.7;1.01
46619.3;46620.3;1.01
46748.6;46749.6;1.01
46801;46802;1.01
46936.1;46937.1;1.01
46955.1;46956.1;1.01
47034.3;47035.3;1.01
47110.9;47111.9;1.01
47217.2;47218.2;1.01
47217.7;47219.2;1.45883
47307.3;47308.3;1.01
47317.7;47318.8;1.01
47558;47559;1.01
47559.6;47560.6;1.01
47582.3;47583.3;1.01
47596.4;47597.4;1.01
47608.4;47609.4;1.01
47727.9;47728.9;1.01
47887.8;47888.8;1.01
48006.9;48007.9;1.01
48012;48013;1.01
48049.7;48050.7;1.01
48083.9;48084.9;1.01
48107.8;48108.9;1.01
48119.2;48120.2;1.01
48181.6;48182.6;1.01
48192.3;48193.3;1.01
48225.7;48226.7;1.01
48238.8;48239.8;1.01
48383.3;48384.3;1.01
48423.3;48424.3;1.01
48532.6;48533.6;1.01
48750;48751.1;1.01
48833.2;48834.2;1.01
48968.3;48969.3;1.01
49003.8;49004.8;1.01
49096.6;49097.7;1.01
49166.7;49167.7;1.01
49352.8;49353.8;1.01
49406.6;49407.6;1.01
49419.4;49420.5;1.01
49468.5;49469.5;1.01
49477.5;49478.5;1.01
49508.6;49509.6;1.01
49584.2;49585.2;1.01
49585;49586.2;1.2253
49600.3;49601.3;1.01
49637.9;49639;1.01
49657.3;49658.3;1.01
49781.2;49782.3;1.01
49861.1;49862.1;1.01
49902.9;49903.9;1.01
49930.6;49931.6;1.01
49968.8;49969.8;1.01
50028.6;50029.7;1.01
50029.6;50030.7;1.05644
50039.1;50040.1;1.01
50057.9;50058.9;1.01
50150.1;50151.1;1.01
50155.9;50156.9;1.01
50160.5;50161.5;1.01
50208.4;50209.4;1.01
50241.9;50242.9;1.01
50314.5;50315.5;1.01
50330.5;50331.5;1.01
50416.1;50417.1;1.01
50545.9;50546.9;1.01
50611.8;50612.8;1.01
50690.9;50691.9;1.01
50951.4;50952.4;1.01
50968.6;50969.6;1.01
51109.6;51110.6;1.01
51153.8;51154.8;1.01
51161.2;51162.2;1.01
51187.4;51188.5;1.01
51295;51296;1.01
51302.7;51303.8;1.01
51516;51517;1.01
51528.5;51529.5;1.01
51563.9;51564.9;1.01
51581.6;51582.6;1.01
51595.3;51596.3;1.01
51682.4;51683.4;1.01
51872.7;51873.7;1.01
51946.2;51947.2;1.01
52173.6;52174.6;1.01
52203.1;52204.1;1.01
52209.1;52210.1;1.01
52244.6;52245.6;1.01
52257.9;52258.9;1.01
52274.1;52275.1;1.01
52406;52407;1.01
52504.5;52505.5;1.01
52522.4;52523.4;1.01
52597.7;52598.8;1.01
52685.3;52686.3;1.01
52857;52858;1.01
52899.1;52900.1;1.01
52953.9;52954.9;1.01
52958.8;52959.8;1.01
53010.8;53011.8;1.01
53042.1;53043.1;1.01
53127.2;53128.2;1.01
53290.8;53291.9;1.01
53349;53350.1;1.01
53490.5;53491.5;1.01
53620.2;53621.3;1.01
53632.4;53633.4;1.01
53735.1;53736.1;1.01
53799.5;53800.5;1.01
53880.8;53881.8;1.01
53987.7;53988.7;1.01
54060.1;54061.1;1.01
54100.9;54101.9;1.01
54174;54175;1.01
54199.5;54200.5;1.01
54245.7;54246.7;1.01
54392.2;54393.2;1.01
54439.7;54440.7;1.01
54494.2;54495.3;1.01
54520.3;54521.3;1.01
54527.6;54528.6;1.01
54675.6;54676.6;1.01
54685.7;54686.7;1.01
54697.9;54698.9;1.01
54748.5;54749.5;1.01
54805.4;54806.4;1.01
54842.6;54843.6;1.01
54857;54858;1.01
54911.1;54912.1;1.01
54937.5;54938.5;1.01
54977.8;54978.8;1.01
54989.5;54990.6;1.01
55044.9;55045.9;1.01
55047.5;55048.5;1.01
55056.6;55057.6;1.01
55080.6;55081.6;1.01
55133.2;55134.2;1.01
55285.8;55286.8;1.01
55325.7;55326.7;1.01
55457;55458;1.01
55566.4;55567.4;1.01
55569.4;55570.4;1.01
55598.3;55599.3;1.01
55721;55722;1.01
55771.5;55772.5;1.01
55773.7;55774.7;1.01
55805.6;55806.6;1.01
55839.3;55840.3;1.01
55908.9;55909.9;1.01
55942.2;55943.2;1.01
56024.6;56025.6;1.01
56189.1;56190.1;1.01
56316.8;56317.8;1.01
56360.7;56361.8;1.01
56391.8;56392.9;1.01
56397.5;56398.6;1.01
56413.1;56414.1;1.01
56460.4;56461.4;1.01
56478.7;56479.7;1.01
56590.5;56591.5;1.01
56605.3;56606.3;1.01
56635.6;56636.6;1.01
56669.9;56670.9;1.01
56936.8;56937.8;1.01
56953.6;56954.6;1.01
57012.6;57013.6;1.01
57043.5;57044.5;1.01
57076.1;57077.2;1.01
57132.7;57133.7;1.01
57224.7;57225.7;1.01
57261.8;57262.9;1.01
57269.3;57270.3;1.01
57279.3;57280.3;1.01
57343.1;57344.1;1.01
57362.5;57363.6;1.01
57428.8;57429.8;1.01
57630.3;57631.3;1.01
57896.2;57897.2;1.01
58018.6;58019.6;1.01
58091.2;58092.3;1.01
58202.2;58203.2;1.01
58240.8;58241.8;1.01
58270.1;58271.1;1.01
58280.3;58281.3;1.01
58323.6;58324.6;1.01
58349.2;58350.2;1.01
58411.2;58412.3;1.01
58448.5;58449.6;1.01
58454.5;58455.5;1.01
58466.4;58467.4;1.01
58500.3;58501.3;1.01
58602.1;58603.1;1.01
58650.5;58651.5;1.01
58666.8;58667.8;1.01
58682.5;58683.5;1.01
58694.9;58696;1.01
58721.7;58722.7;1.01
58871.3;58872.3;1.01
58889;58890;1.01
58896.1;58897.1;1.01
58988.8;58989.8;1.01
58992.2;58993.2;1.01
58993.6;58994.6;1.01
59009.8;59010.8;1.01
59214.1;59215.2;1.01
59231.4;59232.5;1.01
59234.3;59235.3;1.01
59338.5;59339.6;1.01
59353.2;59354.2;1.01
59372.2;59373.2;1.01
59405.7;59406.7;1.01
59449.3;59450.3;1.01
59490.5;59491.5;1.01
59532.9;59533.9;1.01
59583.8;59584.9;1.01
59792.7;59793.7;1.01
59842.3;59843.3;1.01
59973;59974;1.01
59982;59983;1.01
60006.2;60007.2;1.01
60114.3;60115.3;1.01
60231.5;60232.5;1.01
60372.9;60373.9;1.01
60464.3;60465.3;1.01
60529.6;60530.6;1.01
60562.2;60563.2;1.01
60577.2;60578.3;1.01
60588.8;60589.8;1.01
60636.9;60637.9;1.01
60655.8;60656.8;1.01
60791.5;60792.5;1.01
60931.1;60932.1;1.01
60953.6;60954.7;1.01
61007.5;61008.5;1.01
61081.4;61082.4;1.01
61092.5;61093.5;1.01
61176.7;61177.7;1.01
61177.5;61178.7;1.27065
61185.7;61186.8;1.01
61230.3;61231.3;1.01
61334.7;61335.7;1.01
61350.1;61351.1;1.01
61380.2;61381.2;1.01
61534.5;61535.5;1.01
61544;61545;1.01
61553.3;61554.3;1.01
61663.9;61664.9;1.01
61682.1;61683.1;1.01
61682.4;61684.1;1.73928
61930.3;61931.3;1.01
62020.8;62021.8;1.01
62081.8;62082.8;1.01
62160.7;62161.7;1.01
62265.1;62266.1;1.01
62306.6;62307.6;1.01
62333.8;62334.8;1.01
62372;62373;1.01
62460;62461;1.01
62586.1;62587.1;1.01
62609.6;62610.6;1.01
62612.9;62613.9;1.01
62660.5;62661.5;1.01
62870.3;62871.4;1.01
62948.5;62949.5;1.01
62977.5;62978.5;1.01
62993.6;62994.6;1.01
63101.8;63102.8;1.01
63115.5;63116.5;1.01
63215.5;63216.5;1.01
63389.5;63390.5;1.01
63403.5;63404.6;1.01
63484.1;63485.1;1.01
63525.8;63526.8;1.01
63623.5;63624.5;1.01
63694.7;63695.7;1.01
63757.6;63758.6;1.01
63789.1;63790.2;1.01
63813.2;63814.2;1.01
63864.3;63865.3;1.01
63866.3;63867.3;1.01
63889.6;63890.6;1.01
63925.1;63926.1;1.01
63940.7;63941.7;1.01
64072.9;64074;1.01
64083.2;64084.2;1.01
64135;64136;1.01
64205;64206;1.01
64218.4;64219.4;1.01
64225.6;64226.6;1.01
64242.2;64243.2;1.01
64273.1;64274.1;1.01
64396.8;64397.8;1.01
64440.2;64441.2;1.01
64446.6;64447.6;1.01
64473;64474;1.01
64512.3;64513.3;1.01
64590.6;64591.6;1.01
64591;64592.6;1.61462
64606.5;64607.5;1.01
64647.6;64648.6;1.01
64725.8;64726.8;1.01
64767.7;64768.7;1.01
64874;64875;1.01
64897;64898;1.01
64906.7;64907.7;1.01
64984;64985;1.01
65054.3;65055.4;1.01
65117.1;65118.1;1.01
65157.5;65158.5;1.01
65166.7;65167.7;1.01
65299.1;65300.1;1.01
65306.8;65307.8;1.01
65310.6;65311.6;1.01
65376.8;65377.8;1.01
65394.7;65395.7;1.01
65403.2;65404.2;1.01
65417.9;65418.9;1.01
65457.3;65458.3;1.01
65522.6;65523.6;1.01
65570.3;65571.3;1.01
65596.1;65597.1;1.01
65614.6;65615.6;1.01
65615.3;65616.7;1.3692
65619.2;65620.2;1.01
65680.4;65681.4;1.01
65742.1;65743.1;1.01
65812.7;65813.7;1.01
65816.3;65817.3;1.01
65835.7;65836.7;1.01
65867.9;65868.9;1.01
65907.4;65908.4;1.01
66036.9;66037.9;1.01
66039.6;66040.6;1.01
66090;66091;1.01
66096.1;66097.1;1.01
66179;66180;1.01
66197.5;66198.5;1.01
66244.9;66245.9;1.01
66370.6;66371.6;1.01
66548.1;66549.1;1.01
66613.9;66614.9;1.01
66739.5;66740.5;1.01
66771.3;66772.3;1.01
66778.3;66779.3;1.01
66838.3;66839.3;1.01
67118.5;67119.5;1.01
67288.4;67289.4;1.01
67326.4;67327.4;1.01
67392.9;67393.9;1.01
67433;67434;1.01
67458.4;67459.4;1.01
67496.4;67497.4;1.01
67505.9;67506.9;1.01
67594.8;67595.8;1.01
67804.8;67805.8;1.01
67820.5;67821.5;1.01
67865.7;67866.7;1.01
67873.7;67874.7;1.01
67883.5;67884.5;1.01
67884.9;67885.9;1.01
68009.6;68010.6;1.01
68037.4;68038.4;1.01
68045.7;68046.7;1.01
68052;68053.1;1.01
68163.4;68164.4;1.01
68164.9;68165.9;1.01
68248.4;68249.4;1.01
68360;68361;1.01
68394.3;68395.3;1.01
68419;68420.1;1.01
68448.3;68449.3;1.01
68449.1;68450.3;1.1718
68497.8;68498.9;1.01
68516.9;68517.9;1.01
68553.9;68554.9;1.01
68580.2;68581.2;1.01
68645;68646;1.01
68659.2;68660.2;1.01
68685.7;68686.7;1.01
68817.1;68818.1;1.01
68830.6;68831.6;1.01
68848.3;68849.4;1.01
68893.8;68894.8;1.01
69039.4;69040.4;1.01
69062.5;69063.5;1.01
69101.9;69103;1.01
69235.2;69236.2;1.01
69238.8;69239.8;1.01
69250.3;69251.3;1.01
69342.7;69343.7;1.01
69424;69425.1;1.01
69448;69449;1.01
69564.9;69565.9;1.01
69679.9;69680.9;1.01
69693.5;69694.5;1.01
69819.6;69820.6;1.01
69849.3;69850.4;1.01
69923.3;69924.3;1.01
70023.3;70024.4;1.01
70132.6;70133.6;1.01
70184.2;70185.2;1.01
70227.3;70228.3;1.01
70254.4;70255.4;1.01
70261.4;70262.4;1.01
70312.3;70313.3;1.01
70317.3;70318.3;1.01
70423.6;70424.6;1.01
70442.1;70443.1;1.01
70657.8;70658.8;1.01
70691;70692;1.01
70701.3;70702.3;1.01
70726.1;70727.1;1.01
70806.6;70807.6;1.01
70810.7;70811.8;1.01
70866.6;70867.6;1.01
70925.4;70926.4;1.01
70927.2;70928.2;1.01
70999.9;71000.9;1.01
71005.5;71006.5;1.01
71010.2;71011.2;1.01
71020.4;71021.4;1.01
71036.1;71037.1;1.01
71056.5;71057.5;1.01
71158.5;71159.5;1.01
71173.7;71174.8;1.01
71277.1;71278.1;1.01
71332;71333;1.01
71384.3;71385.4;1.01
71387.2;71388.2;1.01
71392.3;71393.3;1.01
71394.6;71395.6;1.01
71417.1;71418.1;1.01
71624.8;71625.8;1.01
71627.6;71628.6;1.01
71666.7;71667.7;1.01
71798.7;71799.7;1.01
71848.3;71849.3;1.01
71930.2;71931.2;1.01
71977.3;71978.4;1.01
71999.7;72000.7;1.01
72029.7;72030.7;1.01
72045.8;72046.8;1.01
72070.8;72071.8;1.01
72106.3;72107.3;1.01
72119.3;72120.4;1.01
72131.5;72132.5;1.01
72139.7;72140.7;1.01
72214.7;72215.7;1.01
72302.8;72303.8;1.01
72307.1;72308.1;1.01
72308.2;72309.2;1.01
72365.2;72366.2;1.01
72387.4;72388.4;1.01
